Name,StartTime,EndTime,Duration(s),Id,ParentId,RootId,fileName,project,qualifiedNameOfFile,userOpName,length,cache,cpuDelta(s),realDelta(s),gc0,gc1,gc2,outputDllFile,buildPhase
Module Generation Pass 4,14-33-37.2287,14-33-37.2288,000.0001,00-9212f3c7ffe6798535539afb4c601e17-b72340a076e9f58d-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Finalize Module Generation Results,14-33-37.2288,14-33-37.2289,000.0001,00-9212f3c7ffe6798535539afb4c601e17-506907d6de41089e-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Generated Tables and Code,14-33-37.2289,14-33-37.2290,000.0001,00-9212f3c7ffe6798535539afb4c601e17-5ca64125b61416ea-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout Header of Tables,14-33-37.2290,14-33-37.2290,000.0000,00-9212f3c7ffe6798535539afb4c601e17-72b6fadc3542416c-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Build String/Blob Address Tables,14-33-37.2291,14-33-37.2295,000.0005,00-9212f3c7ffe6798535539afb4c601e17-8207555e1aa01e3e-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Sort Tables,14-33-37.2296,14-33-37.2296,000.0000,00-9212f3c7ffe6798535539afb4c601e17-4ba1371e91b11d9c-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Header of tablebuf,14-33-37.2296,14-33-37.2297,000.0001,00-9212f3c7ffe6798535539afb4c601e17-874da668b4b5cd62-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Tables to tablebuf,14-33-37.2297,14-33-37.2297,000.0000,00-9212f3c7ffe6798535539afb4c601e17-7ec837b76558b195-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Layout Metadata,14-33-37.2297,14-33-37.2297,000.0000,00-9212f3c7ffe6798535539afb4c601e17-0a17a9a5cd61b508-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Header,14-33-37.2297,14-33-37.2297,000.0000,00-9212f3c7ffe6798535539afb4c601e17-6c8cb605c04de9d5-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Tables,14-33-37.2297,14-33-37.2297,000.0000,00-9212f3c7ffe6798535539afb4c601e17-8f63dda1bf6fc3f5-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata Strings,14-33-37.2297,14-33-37.2297,000.0000,00-9212f3c7ffe6798535539afb4c601e17-df689a9cfafbc85a-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Metadata User Strings,14-33-37.2297,14-33-37.2298,000.0000,00-9212f3c7ffe6798535539afb4c601e17-60070c574a31cc52-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Write Blob Stream,14-33-37.2298,14-33-37.2298,000.0000,00-9212f3c7ffe6798535539afb4c601e17-bbe08a5f326d83a4-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Fixup Metadata,14-33-37.2298,14-33-37.2298,000.0000,00-9212f3c7ffe6798535539afb4c601e17-3b91238d3ce8dac7-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
Generated IL and metadata,14-33-37.2298,14-33-37.2502,000.0204,00-9212f3c7ffe6798535539afb4c601e17-98c87b13e2687995-00,00-9212f3c7ffe6798535539afb4c601e17-b25eb249b90d142c-00,9212f3c7ffe6798535539afb4c601e17,,,,,,,,,,,,,
